"BehaviorSpace results (NetLogo 6,0)"
"Simple Birth Ratesmodositott,nlogo"
"kék termékenységének hatása a piros kihalására"
"03/02/2017 14:30:37:367 +0100"
"min-pxcor";"max-pxcor";"min-pycor";"max-pycor"
"-50";"50";"-50";"50"
"[run number]";"carrying-capacity";"red-fertility";"blue-fertility";"[step]";"ticks ;végén kell csak adatot kimenteni"
"137";"1000";"2";"3,4";"17";"17"
"139";"1000";"2";"3,4";"19";"19"
"141";"1000";"2";"3,5";"16";"16"
"140";"1000";"2";"3,4";"17";"17"
"142";"1000";"2";"3,5";"22";"22"
"144";"1000";"2";"3,5";"13";"13"
"143";"1000";"2";"3,5";"17";"17"
"145";"1000";"2";"3,5";"17";"17"
"146";"1000";"2";"3,5";"16";"16"
"148";"1000";"2";"3,5";"19";"19"
"147";"1000";"2";"3,5";"23";"23"
"149";"1000";"2";"3,5";"16";"16"
"150";"1000";"2";"3,5";"16";"16"
"151";"1000";"2";"3,6";"14";"14"
"152";"1000";"2";"3,6";"16";"16"
"153";"1000";"2";"3,6";"14";"14"
"154";"1000";"2";"3,6";"15";"15"
"155";"1000";"2";"3,6";"15";"15"
"157";"1000";"2";"3,6";"14";"14"
"156";"1000";"2";"3,6";"18";"18"
"158";"1000";"2";"3,6";"16";"16"
"159";"1000";"2";"3,6";"15";"15"
"160";"1000";"2";"3,6";"14";"14"
"161";"1000";"2";"3,7";"18";"18"
"162";"1000";"2";"3,7";"16";"16"
"163";"1000";"2";"3,7";"14";"14"
"164";"1000";"2";"3,7";"15";"15"
"165";"1000";"2";"3,7";"12";"12"
"166";"1000";"2";"3,7";"11";"11"
"167";"1000";"2";"3,7";"13";"13"
"168";"1000";"2";"3,7";"13";"13"
"169";"1000";"2";"3,7";"15";"15"
"170";"1000";"2";"3,7";"19";"19"
"171";"1000";"2";"3,8";"18";"18"
"172";"1000";"2";"3,8";"15";"15"
"173";"1000";"2";"3,8";"14";"14"
"174";"1000";"2";"3,8";"13";"13"
"176";"1000";"2";"3,8";"17";"17"
"175";"1000";"2";"3,8";"20";"20"
"178";"1000";"2";"3,8";"16";"16"
"177";"1000";"2";"3,8";"20";"20"
"179";"1000";"2";"3,8";"13";"13"
"180";"1000";"2";"3,8";"14";"14"
"182";"1000";"2";"3,9";"14";"14"
"181";"1000";"2";"3,9";"18";"18"
"185";"1000";"2";"3,9";"13";"13"
"183";"1000";"2";"3,9";"18";"18"
"184";"1000";"2";"3,9";"20";"20"
"187";"1000";"2";"3,9";"14";"14"
"186";"1000";"2";"3,9";"23";"23"
